play_id,played_at,artist_name,track_name,genre,country,device,skipped,minutes played 
1864,2025-10-06,Marta Oliveira,Electric Window,Jazz,Portugal,phone,0,6.57
234,2024-03-10,Glass Tram,Broken Lines,Electronic,Germany,phone,0,6.0
566,26/06/2024,Basement Cartography,Iron Traffic,indie,Canada,speaker,0,5.42
514,2024-06-04,Luz de Enero,Paper Window,Latin,Spain,CAR,0,
2140,19-12-2025,Fjord & Flint,Open Orbit,Folk,Norway,TABLET ,0,4.07
1792,2025-09-10,Orquesta Bellavista,Open Orbit,LATIN,Colombia,phone,0,2.75
594,06/07/2024,DJ Kompas,Quiet Orbit,ELECTRONIC,Netherlands,phone,0,6.82
735,2024-09-06,Mireille Basset,Static Signal,Jazz,France,tablet ,0,7.45
1194,21/01/2025,Pale Cartography,Blue Signal,Folk,Canada,tablet,0,0.98
2043,2025-11-22,Glass Tram,Salt Lines,electronic,Germany,phone,0,2.8
242,2024-03-13,Sara Lindqvist,Golden Harbour,pop,Sweden,CAR,0,2.68
1802,2025-09-14,Static Meadow,Northern Avenue,ROCK,United States,phone,0,3.82
314,2024-03-30,Nora Whitlock,Bright Garden,POP,United States,laptop,0,4.04 min
562,2024-06-25,Selva Alta,Harbour Lines,Latin,Peru,PHONE,0,3.84
78,2024-01-20,Sara Lindqvist,Quiet Harbour,Pop,Sweden,phone,0,3.79
989,2024-11-16,Yuki Tanaka Trio,Golden Window,  Jazz ,Japan,PHONE ,0,8.2
658,2024-08-08,Glass Tram,Salt Lines,Electronic,Germany,phone,0,
1279,2025-02-19,DJ Kompas,Midnight Weather,ELECTRONIC,Netherlands,phone,0,9.69 min
1216,2025-01-28,DJ Kompas,Golden Weather,Electronic,Netherlands,phone,0,3.88
492,2024-05-28,Glass Tram,Broken Mornings,,Germany,phone ,0,8.04
858,2024-10-13,Nora Whitlock,Northern Machines,Pop,United States,car,0,5.34
1155,10-01-2025,DJ Kompas,Paper Rooms,Electronic,Netherlands,speaker,0,6.89
998,19-11-2024,Fjord & Flint,Golden Garden,,Norway,phone,0,4.27
547,2024-06-17,Sara Lindqvist,Slow Mornings,Pop,Sweden,,0,3.58
495,29-05-2024,Brannon Hill,Static Weather,Folk,Ireland,phone,0,4.42
674,2024-08-15,Fjord & Flint,Midnight Kitchen,Folk,Norway,car,0,3.67
1398,2025-03-30,Static Meadow,Amber Tape,Rock,United States,laptop,0,3.62
283,2024-03-24,Nora Whitlock,Bright Garden,pop,United States,speaker,1,0.15
1056,2024-12-09,The Long Commute,Hollow Mornings,Indie,Netherlands,phone,0,2.6
1744,2025-08-21,Glass Tram,Broken Lines,ELECTRONIC,Germany,speaker,0,3.53
1045,2024-12-04,Yuki Tanaka Trio,Harbour Season,jazz,Japan,laptop,0,9.16
1643,2025-06-30,Northern Signal,Winter Wires,Electronic,Norway,phone ,0,8.17
2082,2025-12-02,Kito Ndungu,Electric Traffic,afrobeat,Kenya,laptop,0,5.26
112,30/01/2024,Fjord & Flint,Blue Ferry,  Folk ,Norway,phone,0,
1127,2025-01-02,Brannon Hill,Quiet Ferry,Folk,Ireland,speaker,0,0.84
894,2024-10-21,Sara Lindqvist,Quiet Harbour,Pop,Sweden,phone,0,3.32
267,21-03-2024,Sara Lindqvist,Slow Mornings,Pop,Sweden,speaker,1,0.69
2030,2025-11-19,Fjord & Flint,Midnight Kitchen,FOLK,Norway,PHONE,0,3.54
1126,2025-01-02,Glass Tram,Salt Lines,electronic,Germany,phone,0,3.57
1332,2025-03-13,Bright Utility,Winter Window,indie,United Kingdom,speaker,0,3.06
1172,2025-01-14,Glass Tram,Salt Lines,Electronic,Germany,speaker,1,0.85
1215,2025-01-28,The Quiet Wires,Golden Season,Rock,United States,phone ,0,5.21
1912,2025-10-20,Fjord & Flint,Golden Garden,Folk,Norway,phone,0,4.92
263,20/03/2024,Hollow Pines,Salt Harbour,folk,United States,PHONE,0,4.02
58,2024-01-15,Rosewood Lane,Slow Rooms,Folk,United Kingdom,phone,0,4.72
964,2024-11-09,Northern Signal,Winter Wires,Electronic,Norway,laptop,0,7.75
114,2024-01-31,Glass Tram,Salt Lines,Electronic,Germany,phone,0,7.94
2018,2025-11-16,DJ Kompas,Harbour Kitchen,electronic,Netherlands,phone,0,6.78
2012,2025-11-14,DJ Kompas,Quiet Orbit,Electronic,Netherlands,speaker,0,7.98
776,2024-09-19,Lagos Tape Club,Bright Wires,  Afrobeat ,Nigeria,laptop,1,1.19
588,2024-07-02,Yuki Tanaka Trio,Northern Window,Jazz,Japan,speaker,0,4.44
1941,2025-10-29,Hollow Pines,Midnight Harbour,,United States,laptop,0,1.41
1506,2025-05-07,Glass Tram,Broken Mornings,ELECTRONIC,Germany,laptop,0,6.81 min
1816,2025-09-19,Lagos Tape Club,Hollow Ferry,Afrobeat,Nigeria,car,1,0.41
1837,2025-09-28,Mireille Basset,Static Signal,JAZZ,France,laptop,0,7.88
753,2024-09-14,Bright Utility,Broken Machines,INDIE,NA,phone,0,3.64
1334,2025-03-14,Fjord & Flint,Open Orbit,Folk,Norway,phone,0,1.77
1859,2025-10-04,Rosewood Lane,Slow Rooms,FOLK,United Kingdom,speaker,0,
251,2024-03-16,DJ Kompas,Quiet Orbit,Electronic,Netherlands,phone,1,0.96
1944,2025-10-29,Glass Tram,Amber Ferry,  Electronic ,Germany,PHONE,1,0.7
1619,2025-06-14,Sara Lindqvist,Northern Radio,pop,Sweden,phone,0,3.21
1640,2025-06-28,Nora Whitlock,Northern Machines,pop,United States,phone ,0,1.1
617,2024-07-19,Sara Lindqvist,Summer Tape,Pop,Sweden,phone,0,2.17
744,2024-09-08,Yuki Tanaka Trio,Harbour Season,JAZZ,Japan,LAPTOP,0,8.72
1305,04/03/2025,Fjord & Flint,Northern Avenue,Folk,Norway,laptop,0,3.56
150,2024-02-11,Rosewood Lane,Summer Signal,Folk,United Kingdom,phone,0,3.01
1003,2024-11-22,Selva Alta,Harbour Orbit,latin,Peru,SPEAKER,0,3.26
673,14/08/2024,Yuki Tanaka Trio,Winter Parade,jazz,Japan,phone,0,8.1
1986,2025-11-09,The Slow Ferry,Winter Weather,INDIE,Ireland,phone ,0,4.58
943,2024-11-02,Glass Tram,Salt Lines,Electronic,Germany,speaker,1,0.68
1787,2025-09-09,Glass Tram,Broken Mornings,Electronic,Germany,,0,7.2
878,2024-10-18,Kito Ndungu,Northern Rooms,Afrobeat,Kenya,PHONE,1,0.23
1723,2025-08-10,Static Meadow,Bright Traffic,ROCK,United States,PHONE,0,1.3
170,2024-02-16,Fjord & Flint,Northern Avenue,  Folk ,Norway,LAPTOP,0,5.7
321,2024-04-01,Brannon Hill,Northern Machines,Folk,Ireland,phone,0,3.73
973,2024-11-12,Cassette Revival,Salt Season,indie,France,phone,0,1.39
2039,2025-11-21,Glass Tram,Broken Mornings,ELECTRONIC,Germany,speaker,0,5.98
2040,2025-11-21,Northern Signal,Amber Lines,ELECTRONIC,Norway,car,0,7.48
1470,2025-04-27,DJ Kompas,Midnight Weather,Electronic,Netherlands,phone,0,6.99
1911,2025-10-20,Hertz Garden,Blue Harbour,Electronic,Germany,speaker,0,7.0
32,07-01-2024,Sara Lindqvist,Slow Mornings,Pop,Sweden,car,0,3.15 min
2165,26/12/2025,Yuki Tanaka Trio,Northern Window,Jazz,Japan,phone,1,0.63
1898,16-10-2025,The Quiet Wires,Golden Wires,ROCK,United States,laptop,0,2.41
1966,2025-11-02,The Quiet Wires,Golden Season,Rock,United States,laptop ,0,4.56
220,2024-03-07,The Slow Ferry,Bright Rooms,INDIE,Ireland,laptop,0,3.61
1505,2025-05-06,Fjord & Flint,Open Orbit,Folk,Norway,laptop,0,0.4
1069,11-12-2024,Glass Tram,Broken Mornings,Electronic,Germany,tablet,0,8.5
1677,17-07-2025,Fjord & Flint,Blue Traffic,Folk,Norway,phone,0,6.12
122,2024-02-02,Lagos Tape Club,Hollow Ferry,Afrobeat,Nigeria,phone,0,4.54
2013,2025-11-14,DJ Kompas,Harbour Kitchen,Electronic,Netherlands,laptop,0,6.56
1675,2025-07-16,Sara Lindqvist,Electric Weather,  Pop ,Sweden,laptop,0,3.54
68,17-01-2024,Sara Lindqvist,Midnight Orbit,Pop,Sweden,speaker,0,4.99
1306,2025-03-05,Northern Signal,Electric Avenue,ELECTRONIC,Norway,phone ,0,3.83
971,2024-11-12,The Slow Ferry,Velvet Season,Indie,Ireland,speaker,0,3.69
981,2024-11-14,Fjord & Flint,Broken Radio,Folk,Norway,speaker,0,3.56
85,22/01/2024,Hollow Pines,Winter Traffic,Folk,United States,phone,0,3.68
374,2024-04-20,Mireille Basset,Midnight Traffic,Jazz,France,speaker,0,7.14
1423,11/04/2025,Fjord & Flint,Midnight Kitchen,Folk,Norway,car ,0,5.84
472,2024-05-23,Fjord & Flint,Blue Traffic,FOLK,Norway,laptop ,0,4.94
923,2024-10-28,The Paper Kites Society,Electric Lines,Indie,Australia,phone,0,4.68
1401,2025-03-31,DJ Kompas,Electric Mornings,Electronic,Netherlands,phone,0,4.72
754,14/09/2024,Fjord & Flint,Blue Ferry,Folk,Norway,,0,5.04
2159,25-12-2025,DJ Kompas,Paper Signal,Electronic,Netherlands,laptop,0,4.85
105,2024-01-28,Northern Signal,Bright Avenue,ELECTRONIC,Norway,laptop,0,5.09
143,2024-02-10,DJ Kompas,Quiet Orbit,Electronic,Netherlands,laptop,0,4.37
2048,2025-11-23,Yuki Tanaka Trio,Harbour Season,jazz,Japan,PHONE,0,9.46
57,2024-01-15,Glass Tram,Broken Lines,  Electronic ,Germany,,0,
1218,2025-01-29,Fjord & Flint,Summer Wires,FOLK,Norway,laptop,0,3.88
1965,2025-11-02,Northern Signal,Salt Lines,Electronic,Norway,PHONE ,0,5.38
1202,2025-01-24,Luz de Enero,Static Traffic,Latin,Spain,,0,2.69
1104,24-12-2024,Northern Signal,Salt Lines,Electronic,Norway,laptop,0,4.31
1189,2025-01-18,DJ Kompas,Hollow Radio,electronic,Netherlands,laptop,0,5.81
1711,06-08-2025,Fjord & Flint,Blue Traffic,Folk,Norway,car,0,3.65
1716,2025-08-08,Brannon Hill,Midnight Kitchen,FOLK,Ireland,speaker,0,4.63 min
486,2024-05-26,DJ Kompas,Electric Mornings,Electronic,Netherlands,phone,0,6.98
2086,2025-12-03,Sara Lindqvist,Quiet Harbour,Pop,Sweden,phone ,0,4.57
1703,2025-07-31,Brannon Hill,Northern Machines,Folk,Ireland,CAR ,0,
356,13-04-2024,Fjord & Flint,Open Orbit,Folk,NA,speaker,0,5.78
991,2024-11-17,Lagos Tape Club,Hollow Ferry,Afrobeat,Nigeria,phone,0,3.04
967,2024-11-09,Basement Cartography,Blue Mornings,Indie,Canada,speaker,0,5.0
1701,29-07-2025,The Slow Ferry,Velvet Season,Indie,Ireland,LAPTOP,1,0.76
1422,2025-04-11,Sara Lindqvist,Quiet Harbour,Pop,Sweden,phone,0,
983,2024-11-15,Brannon Hill,Quiet Ferry,Folk,Ireland,laptop,0,3.7
1757,2025-08-30,Northern Signal,Amber Rooms,electronic,Norway,phone,0,7.55
309,2024-03-29,Salon Mécanique,Hollow Parade,JAZZ,Belgium,phone,0,8.83
685,2024-08-19,Fjord & Flint,Summer Wires,Folk,Norway,car ,0,4.19
1204,2025-01-25,Circuit Sparrow,Winter Window,Electronic,Japan,laptop,0,6.32
161,2024-02-15,Sara Lindqvist,Slow Mornings,POP,Sweden,phone,1,0.81
1663,2025-07-10,The Long Commute,Winter Traffic,  Indie ,Netherlands,laptop,0,4.42
1142,2025-01-06,Fjord & Flint,Open Orbit,Folk,Norway,car,0,2.37
1674,2025-07-16,Yuki Tanaka Trio,Northern Lines,Jazz,Japan,speaker,0,9.06
643,2024-08-02,Sara Lindqvist,Broken Kitchen,Pop,Sweden,PHONE,0,6.28
1653,2025-07-06,Luz de Enero,Summer Rooms,latin,Spain,phone,0,1.19
412,2024-05-02,Sara Lindqvist,Quiet Harbour,pop,Sweden,tablet,0,
97,2024-01-25,Casa Tropicana,Hollow Tape,Latin,Cuba,phone,0,2.64 min
1262,2025-02-13,Glass Tram,Broken Mornings,ELECTRONIC,Germany,tablet,0,5.2
1633,2025-06-23,Glass Tram,Salt Lines,Electronic,Germany,phone,0,4.94
1586,2025-06-01,Hollow Pines,Amber Lines,FOLK,United States,speaker,0,5.65
1876,2025-10-10,Pale Cartography,Bright Tape,Folk,Canada,laptop ,0,3.17
1403,2025-04-01,Pale Cartography,Winter Weather,Folk,Canada,speaker,1,0.98
1620,15/06/2025,Sara Lindqvist,Electric Weather,POP,Sweden,laptop,0,4.6
328,2024-04-05,The Quiet Wires,Golden Wires,Rock,United States,laptop,0,5.93
3,2024-01-01,Fjord & Flint,Golden Garden,Folk,Norway,laptop,0,0.51
1532,13/05/2025,Lagos Tape Club,Bright Wires,  Afrobeat ,Nigeria,PHONE,0,2.42
1316,2025-03-08,DJ Kompas,Midnight Weather,Electronic,Netherlands,speaker ,0,5.45 min
762,2024-09-16,DJ Kompas,Paper Rooms,Electronic,Netherlands,speaker ,0,6.34
287,2024-03-24,Glass Tram,Salt Lines,Electronic,Germany,car,0,5.0
392,27/04/2024,Northern Signal,Winter Wires,ELECTRONIC,Norway,phone,0,7.4
1990,2025-11-09,Sara Lindqvist,Summer Tape,POP,Sweden,,1,0.28
1992,2025-11-09,Lagos Tape Club,Open Radio,AFROBEAT,Nigeria,phone,0,5.79
1989,09/11/2025,Pale Cartography,Bright Tape,Folk,Canada,speaker,0,3.4
709,2024-09-01,Rosewood Lane,Slow Rooms,folk,United Kingdom,TABLET,0,3.43
672,2024-08-14,The Slow Ferry,Iron Weather,indie,Ireland,phone ,0,5.71
176,2024-02-19,DJ Kompas,Bright Ferry,electronic,Netherlands,laptop,0,
1330,2025-03-13,Lagos Tape Club,Velvet Avenue,AFROBEAT,Nigeria,phone,0,4.90
148,2024-02-11,Basement Cartography,Summer Orbit,Indie,Canada,PHONE,0,2.98
1676,2025-07-17,Bright Utility,Winter Window,indie,United Kingdom,phone,1,1.38
157,14/02/2024,Lagos Tape Club,Velvet Avenue,afrobeat,Nigeria,LAPTOP,0,3.75
1920,2025-10-22,Lagos Tape Club,Winter Rooms,afrobeat,Nigeria,phone,0,3.61
294,2024-03-26,Fjord & Flint,Blue Ferry,folk,Norway,phone,0,3.26
103,2024-01-28,Northern Signal,Golden Machines,ELECTRONIC,Norway,CAR,1,
1959,2025-11-01,DJ Kompas,Paper Rooms,Electronic,Netherlands,laptop,0,8.27
1761,2025-09-02,Basement Cartography,Iron Traffic,Indie,Canada,phone,0,1.33
171,2024-02-16,Luz de Enero,Static Machines,LATIN,Spain,phone,0,3.8
1924,2025-10-23,Glass Tram,Broken Lines,Electronic,Germany,car,0,6.28
1594,2025-06-05,The Paper Kites Society,Electric Lines,Indie,Australia,phone,1,0.5
256,2024-03-18,Sara Lindqvist,Summer Tape,pop,Sweden,,1,0.88
375,20-04-2024,Fjord & Flint,Golden Garden,Folk,Norway,laptop,0,5.75
818,2024-10-02,Bright Utility,Broken Machines,Indie,United Kingdom,phone,0,3.95
83,2024-01-21,Luz de Enero,Velvet Harbour,Latin,Spain,phone,0,3.18
1496,2025-05-04,Salon Mécanique,Harbour Machines,  Jazz ,Belgium,car,0,7.5
626,23/07/2024,Static Meadow,Static Signal,Rock,United States,,0,4.42
695,26/08/2024,Sara Lindqvist,Broken Kitchen,POP,Sweden,phone,0,4.65
936,2024-10-31,DJ Kompas,Paper Signal,Electronic,Netherlands,speaker,0,8.13
1826,2025-09-23,Static Meadow,Salt Mornings,Rock,United States,phone ,0,3.48
1019,2024-11-27,Static Meadow,Open Rooms,rock,United States,speaker ,0,5.34
2147,21-12-2025,Selva Alta,Open Ferry,Latin,Peru,phone ,0,0.4
780,2024-09-20,Fjord & Flint,Open Orbit,Folk,Norway,speaker,0,0.91
549,2024-06-19,Kito Ndungu,Hollow Weather,afrobeat,Kenya,tablet,0,4.88
523,2024-06-08,Fjord & Flint,Blue Traffic,Folk,Norway,laptop,0,5.64
960,07/11/2024,Circuit Sparrow,Slow Parade,Electronic,Japan,speaker,0,5.96
666,2024-08-12,Glass Tram,Broken Lines,electronic,Germany,phone,0,6.24
343,2024-04-10,The Quiet Wires,Harbour Orbit,ROCK,United States,PHONE,0,4.06
1169,2025-01-13,Kito Ndungu,Northern Rooms,Afrobeat,Kenya,,0,6.72
1718,09/08/2025,DJ Kompas,Midnight Weather,Electronic,Netherlands,laptop,1,0.39
1008,2024-11-23,Brannon Hill,Bright Mornings,Folk,Ireland,phone,0,5.15 min
75,2024-01-20,Northern Signal,Salt Lines,ELECTRONIC,Norway,phone ,0,4.06
352,2024-04-12,Glass Tram,Broken Mornings,  Electronic ,Germany,laptop,0,4.2
1022,2024-11-28,Pale Cartography,Velvet Avenue,FOLK,Canada,PHONE,1,0.49
300,2024-03-27,The Quiet Wires,Harbour Orbit,Rock,United States,phone,0,4.15 min
1225,31/01/2025,Fjord & Flint,Summer Wires,Folk,Norway,PHONE,0,2.84
223,08/03/2024,DJ Kompas,Midnight Weather,Electronic,Netherlands,phone,0,5.02
502,2024-05-31,Mango Static,Static Lines,  Latin ,Brazil,speaker,0,4.05
1646,2025-07-03,Kito Ndungu,Northern Rooms,Afrobeat,Kenya,PHONE,0,1.67
1884,2025-10-13,Bright Utility,Bright Letters,Indie,United Kingdom,PHONE ,0,2.16
124,2024-02-02,Basement Cartography,Summer Orbit,Indie,Canada,phone,0,4.28
958,06/11/2024,Selva Alta,Harbour Lines,Latin,Peru,laptop ,0,2.14
730,2024-09-05,Fjord & Flint,Open Orbit,Folk,Norway,tablet,0,4.4 min
1768,04/09/2025,Glass Tram,Amber Ferry,electronic,Germany,phone,0,2.98
1683,2025-07-18,Salon Mécanique,Velvet Machines,Jazz,Belgium,phone,0,8.07
1950,2025-10-30,Lagos Tape Club,Hollow Ferry,  Afrobeat ,Nigeria,phone,0,6.2
163,2024-02-15,Lagos Tape Club,Hollow Ferry,Afrobeat,Nigeria,laptop,0,7.32 min
1783,2025-09-07,Static Meadow,Northern Avenue,ROCK,United States,laptop,0,4.44
930,2024-10-30,Glass Tram,Broken Lines,ELECTRONIC,Germany,phone,0,7.69
1949,2025-10-30,Glass Tram,Amber Ferry,Electronic,Germany,speaker,0,6.26
242,2024-03-13,Sara Lindqvist,Golden Harbour,pop,Sweden,CAR,0,2.68
74,2024-01-19,Fjord & Flint,Northern Avenue,Folk,Norway,phone,0,4.36
110,2024-01-29,DJ Kompas,Golden Weather,Electronic,Netherlands,laptop,0,4.36
1446,18/04/2025,Marta Oliveira,Static Wires,Jazz,Portugal,PHONE,1,1.46
30,2024-01-07,Glass Tram,Broken Lines,  Electronic ,Germany,phone,0,3.73
1315,08/03/2025,Sara Lindqvist,Northern Radio,POP,Sweden,phone,0,4.98
809,2024-09-30,Orquesta Bellavista,Salt Ferry,Latin,Colombia,phone,0,4.06
1776,2025-09-06,Sara Lindqvist,Golden Harbour,Pop,Sweden,car,0,3.79
1655,07/07/2025,Fjord & Flint,Midnight Kitchen,Folk,Norway,laptop,0,3.06
803,2024-09-26,Hertz Garden,Amber Machines,Electronic,Germany,PHONE,0,4.67
1035,30/11/2024,DJ Kompas,Electric Mornings,ELECTRONIC,Netherlands,laptop,0,4.61
906,2024-10-24,Sara Lindqvist,Electric Weather,Pop,NA,speaker,1,0.77 min
2178,2025-12-31,Salon Mécanique,Electric Window,Jazz,Belgium,PHONE,0,4.86
796,24/09/2024,Rosewood Lane,Summer Signal,Folk,United Kingdom,PHONE,1,0.29
1460,2025-04-24,Selva Alta,Harbour Orbit,Latin,Peru,phone,0,1.95
1221,2025-01-30,Glass Tram,Salt Lines,  Electronic ,Germany,laptop,0,6.8
483,2024-05-26,Pale Cartography,Bright Tape,Folk,Canada,PHONE,0,2.94 min
1617,12/06/2025,Luz de Enero,Velvet Harbour,Latin,Spain,phone,0,3.02
235,2024-03-10,Mango Static,Static Wires,Latin,Brazil,phone,0,
1054,2024-12-07,Glass Tram,Amber Ferry,Electronic,Germany,phone,1,0.64
792,2024-09-24,Basement Cartography,Paper Kitchen,Indie,Canada,phone,0,4.97
1227,2025-02-01,The Quiet Wires,Golden Season,Rock,NA,phone,0,4.79 min
2162,2025-12-25,Glass Tram,Salt Lines,Electronic,Germany,speaker,0,7.32
2079,2025-12-01,Sara Lindqvist,Northern Radio,  Pop ,Sweden,speaker,0,4.88
131,2024-02-04,Selva Alta,Harbour Lines,Latin,Peru,phone,1,0.95
934,30/10/2024,Glass Tram,Broken Mornings,ELECTRONIC,Germany,phone,0,8.92
152,2024-02-12,Rosewood Lane,Paper Mornings,folk,United Kingdom,PHONE,0,1.34
742,2024-09-07,The Quiet Wires,Quiet Machines,Rock,United States,phone,0,4.8
898,22/10/2024,Lagos Tape Club,Hollow Ferry,Afrobeat,Nigeria,car,0,
1823,2025-09-21,Luz de Enero,Northern Ferry,Latin,Spain,laptop,0,4.25
38,2024-01-10,Sara Lindqvist,Summer Tape,  Pop ,Sweden,laptop,0,3.56
399,2024-04-29,Glass Tram,Amber Ferry,Electronic,Germany,phone,0,7.87
1647,2025-07-03,Fjord & Flint,Golden Garden,Folk,Norway,phone,0,4.56
1366,2025-03-22,Luz de Enero,Static Machines,Latin,Spain,PHONE,0,4.51 min
1090,2024-12-18,Fjord & Flint,Blue Ferry,folk,Norway,phone ,0,
419,2024-05-04,Mireille Basset,Static Signal,Jazz,France,phone ,0,9.03
353,2024-04-13,Fjord & Flint,Summer Wires,  Folk ,Norway,laptop,0,5.27
1894,16-10-2025,Fjord & Flint,Golden Garden,Folk,Norway,car,0,4.96
1537,2025-05-15,DJ Kompas,Paper Rooms,Electronic,Netherlands,speaker,0,5.28
804,2024-09-26,Sara Lindqvist,Broken Kitchen,Pop,Sweden,laptop,0,4.12
805,2024-09-27,Marta Oliveira,Broken Orbit,JAZZ,Portugal,laptop,0,7.72
200,2024-02-29,DJ Kompas,Electric Mornings,Electronic,Netherlands,PHONE,0,4.81
34,2024-01-09,Sara Lindqvist,Quiet Harbour,Pop,Sweden,phone,0,3.92
80,2024-01-21,Glass Tram,Amber Ferry,Electronic,Germany,phone,0,7.11
100,2024-01-27,Sara Lindqvist,Slow Mornings,Pop,Sweden,CAR,0,3.65
1834,2025-09-26,The Slow Ferry,Velvet Season,Indie,Ireland,speaker,1,0.92
1346,2025-03-17,DJ Kompas,Paper Signal,Electronic,Netherlands,speaker,0,3.79
2100,2025-12-08,Yuki Tanaka Trio,Golden Machines,Jazz,Japan,CAR,0,9.26
77,2024-01-20,Fjord & Flint,Blue Traffic,Folk,Norway,LAPTOP,0,3.08
1999,12/11/2025,Glass Tram,Salt Lines,ELECTRONIC,Germany,car,0,7.6
2067,2025-11-28,Brannon Hill,Static Weather,Folk,Ireland,tablet,0,4.11
192,2024-02-26,DJ Kompas,Electric Mornings,electronic,Netherlands,phone,0,7.64
1333,2025-03-13,Casa Tropicana,Blue Machines,Latin,Cuba,phone,0,2.28
1207,2025-01-25,DJ Kompas,Quiet Orbit,Electronic,Netherlands,phone,0,6.26
1246,2025-02-08,Selva Alta,Harbour Lines,Latin,NA,laptop,0,1.96
2154,2025-12-23,DJ Kompas,Electric Mornings,electronic,Netherlands,tablet,0,5.77
1431,2025-04-13,Sara Lindqvist,Slow Mornings,Pop,Sweden,phone,0,
1678,2025-07-17,Brannon Hill,Bright Mornings,Folk,Ireland,phone,0,5.34
1672,2025-07-15,Fjord & Flint,Broken Radio,  Folk ,Norway,phone,0,3.38
448,2024-05-13,Nora Whitlock,Northern Machines,pop,United States,laptop,1,0.31
190,2024-02-25,The Paper Kites Society,Harbour Rooms,Indie,Australia,LAPTOP,1,1.02
574,2024-06-28,Brannon Hill,Quiet Ferry,Folk,Ireland,PHONE,0,2.95
1725,2025-08-11,Fjord & Flint,Blue Ferry,Folk,Norway,tablet,1,0.94
887,19/10/2024,Sara Lindqvist,Slow Mornings,Pop,Sweden,phone,0,6.04
980,2024-11-14,Brannon Hill,Bright Mornings,Folk,Ireland,phone ,0,2.77
400,2024-04-29,Luz de Enero,Harbour Season,  Latin ,Spain,phone,0,4.53
2104,2025-12-09,The Paper Kites Society,Electric Radio,Indie,Australia,laptop,0,
209,03/03/2024,Fjord & Flint,Open Orbit,Folk,Norway,speaker,0,4.6
1800,2025-09-13,Glass Tram,Broken Lines,Electronic,Germany,laptop,0,7.62
